Model,Feature,Importance
Logistic Regression,Voice mail plan,1.0972727483674098
Logistic Regression,Customer service calls,0.939140832184917
Logistic Regression,International plan,0.8712492002864342
Logistic Regression,Number vmail messages,0.6185988263556063
Logistic Regression,State_RI,0.4445542004255446
Logistic Regression,Total day minutes,0.42090232727148313
Logistic Regression,Total day charge,0.42046735126411433
Logistic Regression,State_VA,0.3485969200880212
Logistic Regression,State_HI,0.331965328484342
Logistic Regression,Total intl calls,0.30669420986659873
Logistic Regression,State_IL,0.3016524191199792
Logistic Regression,State_WI,0.2301357925704804
Logistic Regression,State_MO,0.22460120880729662
Logistic Regression,State_NC,0.20679621913076823
Logistic Regression,State_AL,0.20570610834874872
Logistic Regression,State_WY,0.18825776987976706
Logistic Regression,State_IA,0.1837804398847976
Logistic Regression,State_AZ,0.1773282739956349
Logistic Regression,State_VT,0.16517669747070465
Logistic Regression,State_ID,0.15970906681131744
Logistic Regression,State_SD,0.15897162686546226
Logistic Regression,State_IN,0.15690203395272484
Logistic Regression,State_WV,0.15614719471071944
Logistic Regression,Total eve minutes,0.15398548387937258
Logistic Regression,State_KY,0.15146518024909975
Logistic Regression,Total eve charge,0.15096311448755645
Logistic Regression,State_NE,0.14199752225283124
Logistic Regression,Total intl charge,0.13580423275890777
Logistic Regression,State_TN,0.13079355293986153
Logistic Regression,Total intl minutes,0.12688186762069237
Logistic Regression,State_OR,0.11474581259309233
Logistic Regression,State_AR,0.10977133535632255
Logistic Regression,State_GA,0.10304115956532545
Logistic Regression,State_NM,0.10071684433947185
Logistic Regression,Total night minutes,0.09469224546706823
Logistic Regression,Total night charge,0.09357308561475228
Logistic Regression,State_MS,0.09238065405728871
Logistic Regression,State_KS,0.08526731576229653
Logistic Regression,State_SC,0.08410258814212547
Logistic Regression,Account length,0.08082213915438823
Logistic Regression,State_MN,0.07975335016214066
Logistic Regression,State_CO,0.07965692328420637
Logistic Regression,State_ND,0.07627415442394102
Logistic Regression,State_MD,0.07576411748391342
Logistic Regression,State_FL,0.07550354042535476
Logistic Regression,State_DE,0.06923332403747635
