Resampling,Model,F1,ROC-AUC,PR-AUC
SMOTE,Logistic Regression,0.464,0.791,0.436
SMOTE,Decision Tree,0.687,0.842,0.713
SMOTE,Random Forest,0.711,0.899,0.757
SMOTE,SVM,0.494,0.82,0.478
SMOTE,ANN,0.461,0.779,0.467
SMOTE,XGBoost,0.802,0.912,0.847
ADASYN,Logistic Regression,0.464,0.795,0.433
ADASYN,Decision Tree,0.674,0.834,0.7
ADASYN,Random Forest,0.702,0.897,0.744
ADASYN,SVM,0.483,0.813,0.463
ADASYN,ANN,0.464,0.783,0.466
ADASYN,XGBoost,0.814,0.915,0.863
SMOTEENN,Logistic Regression,0.409,0.777,0.422
SMOTEENN,Decision Tree,0.521,0.756,0.572
SMOTEENN,Random Forest,0.64,0.877,0.627
SMOTEENN,SVM,0.434,0.785,0.43
SMOTEENN,ANN,0.442,0.788,0.465
SMOTEENN,XGBoost,0.739,0.908,0.806
ROS,Logistic Regression,0.458,0.791,0.43
ROS,Decision Tree,0.723,0.837,0.743
ROS,Random Forest,0.771,0.91,0.841
ROS,SVM,0.539,0.843,0.554
ROS,ANN,0.515,0.827,0.564
ROS,XGBoost,0.843,0.908,0.859
RUS,Logistic Regression,0.424,0.777,0.408
RUS,Decision Tree,0.495,0.773,0.587
RUS,Random Forest,0.64,0.891,0.731
RUS,SVM,0.462,0.807,0.492
RUS,ANN,0.444,0.797,0.474
RUS,XGBoost,0.656,0.899,0.78
