Resampling,Model,Best F1 Score,Best Params
SMOTE,XGBoost,0.9508,"{'n_estimators': 218, 'max_depth': 9, 'learning_rate': 0.20611128571941362, 'subsample': 0.9909670046574595, 'colsample_bytree': 0.759239818982449, 'gamma': 0.5764377548064381, 'reg_lambda': 0.013891866863341061}"
SMOTE,RandomForest,0.935,"{'n_estimators': 273, 'max_depth': 28, 'min_samples_split': 8, 'min_samples_leaf': 1}"
SMOTE,ANN,0.9529,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0520774952819713}"
SMOTE,SVM,0.9702,"{'C': 4.569534374551882, 'gamma': 0.14284264654474033}"
SMOTE,LogisticRegression,0.7949,"{'C': 0.19283242687690816, 'penalty': 'l1', 'solver': 'liblinear'}"
SMOTE,DecisionTree,0.9115,"{'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 1}"
SMOTEENN,XGBoost,0.968,"{'n_estimators': 265, 'max_depth': 10, 'learning_rate': 0.20769608884064739, 'subsample': 0.9382243936478005, 'colsample_bytree': 0.7687531581626179, 'gamma': 1.6363221703840503, 'reg_lambda': 1.1166567120578246}"
SMOTEENN,RandomForest,0.9639,"{'n_estimators': 194, 'max_depth': 26, 'min_samples_split': 2, 'min_samples_leaf': 1}"
SMOTEENN,ANN,0.9816,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0005697689832124442}"
SMOTEENN,SVM,0.9961,"{'C': 8.914462418262598, 'gamma': 0.12746685326893373}"
SMOTEENN,LogisticRegression,0.8912,"{'C': 1.3765651350545212, 'penalty': 'l1', 'solver': 'liblinear'}"
SMOTEENN,DecisionTree,0.9434,"{'max_depth': 16, 'min_samples_split': 4, 'min_samples_leaf': 1}"
ADASYN,XGBoost,0.939,"{'n_estimators': 140, 'max_depth': 12, 'learning_rate': 0.14746608233740374, 'subsample': 0.8739940228967384, 'colsample_bytree': 0.7700376697504654, 'gamma': 2.524695392521931, 'reg_lambda': 1.136430188547442}"
ADASYN,RandomForest,0.9231,"{'n_estimators': 300, 'max_depth': 28, 'min_samples_split': 4, 'min_samples_leaf': 1}"
ADASYN,ANN,0.9421,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.03680209945657857}"
ADASYN,SVM,0.95,"{'C': 5.9509082560001865, 'gamma': 0.09845870464289982}"
ADASYN,LogisticRegression,0.783,"{'C': 2.5506329702947945, 'penalty': 'l1', 'solver': 'liblinear'}"
ADASYN,DecisionTree,0.8981,"{'max_depth': 9, 'min_samples_split': 5, 'min_samples_leaf': 1}"
ROS,XGBoost,0.9874,"{'n_estimators': 159, 'max_depth': 11, 'learning_rate': 0.07499978323846701, 'subsample': 0.7849893785256621, 'colsample_bytree': 0.5831466602348246, 'gamma': 0.3733198165036624, 'reg_lambda': 0.41439056032100213}"
ROS,RandomForest,0.9879,"{'n_estimators': 281, 'max_depth': 24, 'min_samples_split': 2, 'min_samples_leaf': 1}"
ROS,ANN,0.9646,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.05470006795216579}"
ROS,SVM,0.9976,"{'C': 2.331500010642569, 'gamma': 0.913491418504943}"
ROS,LogisticRegression,0.7703,"{'C': 0.09252546171030568, 'penalty': 'l1', 'solver': 'liblinear'}"
ROS,DecisionTree,0.961,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}"
RUS,XGBoost,0.8682,"{'n_estimators': 194, 'max_depth': 6, 'learning_rate': 0.05595255623400777, 'subsample': 0.9454364263986099, 'colsample_bytree': 0.8613417085354245, 'gamma': 1.7102762025064069, 'reg_lambda': 0.991093006385727}"
RUS,RandomForest,0.8554,"{'n_estimators': 258, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 2}"
RUS,ANN,0.7676,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.09889075371687753}"
RUS,SVM,0.7467,"{'C': 1.4166435022889812, 'gamma': 0.01259092222480976}"
RUS,LogisticRegression,0.7604,"{'C': 0.032765430354151026, 'penalty': 'l1', 'solver': 'liblinear'}"
RUS,DecisionTree,0.822,"{'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 5}"
